Name,Path,File Size,Created,Accessed,Modified
Mpc2 Mp3.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\utilees AUDIO Y VIDEO,460 KB,18/09/2019 18:41,23/09/2014 20:24,29/03/2011 17:15
Cuesplitter_setup Cue Flac Ape (opensource).exe.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\utilees AUDIO Y VIDEO,2233 KB,18/09/2019 18:41,22/09/2014 16:53,01/04/2011 19:18
CDisplay Comic Viewer setup.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\Utiles Sistema,2077 KB,18/09/2019 18:41,16/02/2017 17:57,16/02/2017 17:57
Setupimgburn_2.5.1.0_best_dvd_tool.exe.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\Utils For Oficina yPara CODIGO,4484 KB,18/09/2019 18:41,02/10/2017 18:03,02/10/2017 18:03
Word97 Viewer And Converter.by.diponto.ZIP,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\Utils For Oficina yPara CODIGO,4793 KB,18/09/2019 18:41,23/09/2014 20:23,21/10/1999 17:47
Pastero Drag N Drop Notepad Like By.gcm - B.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\Utils For Oficina yPara CODIGO,400 KB,18/09/2019 18:41,02/10/2017 18:01,02/10/2017 18:01
Treesizesetup2mil9.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\Utils For Oficina yPara CODIGO,1584 KB,18/09/2019 18:41,02/10/2017 18:03,02/10/2017 18:03
Autohotkeys Mini Softs.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\Utils For Oficina yPara CODIGO,1438 KB,18/09/2019 18:41,02/10/2017 18:01,02/10/2017 18:01
Artlcons.Pro.3.26.b2.Crear.Iconos.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\Utils For Oficina yPara CODIGO,1037 KB,18/09/2019 18:41,22/09/2014 21:51,07/01/2004 6:24
Html Help Workshop 4.74.8702.0.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\Utils For Oficina yPara CODIGO\Para Producir Media,4850 KB,18/09/2019 18:41,02/10/2017 18:04,02/10/2017 18:04
Vb_runtimes_vb4_vb5_vb6_by.diponto.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\VB DLLS 123456vb,1707 KB,18/09/2019 18:41,14/07/2017 20:28,04/06/2010 21:43
Vbrun100 Vbrun200 Vbrun300 Vb4run.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\VB DLLS 123456vb,1427 KB,18/09/2019 18:41,14/07/2017 20:28,01/12/2013 6:04
Vb5.0_dlls_and_runtimes.by.diponto.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\FULL_OF_APPS_CATEGORIZDO\VB DLLS 123456vb,2829 KB,18/09/2019 18:41,14/07/2017 20:28,29/09/2010 19:48
xpfolfix.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\Jerardo Downloads MARZO2016,21 KB,18/09/2019 17:51,18/09/2019 17:51,18/04/2016 19:30
cubo3d-VB50.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\Jerardo Downloads MARZO2016,16 KB,18/09/2019 17:51,18/09/2019 17:51,23/03/2016 12:48
fixpack.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\Jerardo Downloads MARZO2016,47 KB,18/09/2019 17:51,18/09/2019 17:51,18/04/2016 19:31
vb3.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\Jerardo Downloads MARZO2016\Software oldware TRy on Virtualpc,1749 KB,18/09/2019 17:51,18/09/2019 17:51,23/03/2016 12:48
Apps xp need download.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\Jerardo Downloads MARZO2016\Software oldware TRy on Virtualpc,2176 KB,18/09/2019 17:51,18/09/2019 17:51,01/05/2016 18:27
vb1win.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\Jerardo Downloads MARZO2016\Software oldware TRy on Virtualpc,856 KB,18/09/2019 17:51,18/09/2019 17:51,23/03/2016 12:48
vb2.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\Jerardo Downloads MARZO2016\Software oldware TRy on Virtualpc,450 KB,18/09/2019 17:51,18/09/2019 17:51,23/03/2016 12:48
JPG 2 PDF.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\JPG 2 PDF  - Varios By Diponto,1177 KB,18/09/2019 17:50,18/09/2019 17:50,29/10/2014 18:37
Pdf To Image Converter v2.0 Winall Incl Keygen-Eclipse.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\JPG 2 PDF  - Varios By Diponto,3990 KB,18/09/2019 17:50,18/09/2019 17:50,25/10/2008 19:09
Convert Image To Pdf.ZIP,E:\#(TODO_APPS)\# For Upload - Apps Compartido\JPG 2 PDF  - Varios By Diponto,3663 KB,18/09/2019 17:50,18/09/2019 17:50,13/09/2014 16:40
Open_Perl_IDE_1.0.11.409.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\PARA RESTAURAREL SISMA,1072 KB,30/11/2002 0:14,30/11/2002 0:14,30/11/2002 0:14
Wd97vwr32 Microsoft Word Viewer (windows 9x Me Xp).zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\PARA RESTAURAREL SISMA,3794 KB,02/10/2010 10:00,02/10/2010 10:00,02/10/2010 10:00
Agentran.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\PARA RESTAURAREL SISMA,2931 KB,30/03/2013 18:46,30/03/2013 18:46,30/03/2013 18:46
Avisynth_258.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\PARA RESTAURAREL SISMA,4082 KB,09/03/2015 20:08,09/03/2015 20:08,09/03/2015 20:08
Personal Renamer Version 2.4.0.1.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\RENAMERs\o,550 KB,18/09/2019 17:51,18/09/2019 17:51,30/03/2015 8:57
fastfilerenamer.zip,E:\#(TODO_APPS)\# For Upload - Apps Compartido\RENAMERs\o,918 KB,18/09/2019 17:51,18/09/2019 17:51,30/03/2015 8:53
Directory Lister Pro 1.68 Enterprise Edition[ITA][MultiLanguage][Completo][Full].zip,E:\#(TODO_APPS)\#@[PORTABLE]  Grisu\111 2021 ene SOFT GCM,6112 KB,12/01/2021 18:18,13/01/2021 17:49,26/12/2020 17:36
File Magic Gold v1.9.8.19 - Ita (26 Febbraio 2020) by GRISU(1.60 Program.Unwanted.4298).zip,E:\#(TODO_APPS)\#@[PORTABLE]  Grisu\file viewer pro (maliños),3413 KB,23/12/2020 15:54,23/12/2020 15:54,18/12/2020 13:11
Djvu Reader.zip,E:\#(TODO_APPS)\#Apps NEw,1727 KB,19/05/2021 15:20,19/05/2021 15:20,04/05/2021 22:58
Tweaking Windows Repair Pro 2018 v4.4.3.zip,E:\#(TODO_APPS)\#Apps NEw,841 KB,19/05/2021 15:26,19/05/2021 15:26,10/05/2021 19:48
MICROANGELO-x86.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare,1299 KB,20/11/2019 18:28,20/11/2019 18:28,20/11/2019 18:28
(app-free)Koyote_FreeScreenVideo_Capture_2010.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare,4096 KB,16/10/2019 18:57,16/10/2019 18:57,16/03/2011 18:46
(freeware)pspad453inst_en 2008.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare,3324 KB,16/10/2019 18:57,16/10/2019 18:57,02/10/2010 10:00
mandel-vb.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405,4 KB,16/09/2019 18:22,16/09/2019 18:22,20/07/1999 9:06
x32_winfract-20.04p13.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405,846 KB,16/09/2019 18:22,16/09/2019 18:22,07/03/2015 9:17
Mplayerc_20100214.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405,3955 KB,16/10/2019 18:57,16/10/2019 18:57,20/12/2018 17:50
Adobe PageMaker v6.5.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\cks srls win98 2013diponto,0 KB,16/10/2019 18:58,16/10/2019 18:58,24/06/2013 14:57
Platiplus JavaScript Editor+serial.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\cks srls win98 2013diponto,1073 KB,16/10/2019 18:58,16/10/2019 18:58,03/08/2013 19:43
MapEdit_v2.58.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\cks srls win98 2013diponto,7 KB,16/10/2019 18:58,16/10/2019 18:58,24/06/2013 18:44
Adobe_PageMaker_v6.5_Retail.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\cks srls win98 2013diponto,1 KB,16/10/2019 18:58,16/10/2019 18:58,24/06/2013 15:56
Paint_Shop_Pro_v6.01.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\cks srls win98 2013diponto,93 KB,16/10/2019 18:58,16/10/2019 18:58,19/04/2014 21:06
Microangelo_98_v4.xxx.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\cks srls win98 2013diponto,2 KB,16/10/2019 18:58,16/10/2019 18:58,24/06/2013 18:42
Mayura Draw v3.5.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\cks srls win98 2013diponto,9 KB,16/10/2019 18:58,16/10/2019 18:58,26/06/2013 13:52
Macromedia_Flash_v4.0_by_TMG.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\cks srls win98 2013diponto,7 KB,16/10/2019 18:58,16/10/2019 18:58,24/06/2013 14:59
Gaspy [asp vb java html EDITOR].zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\EDITORES WEB,2688 KB,16/10/2019 18:57,16/10/2019 18:57,27/10/2002 19:53
GifConstruction.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\GRAFICOS,1335 KB,16/10/2019 18:57,16/10/2019 18:57,18/01/2002 21:55
Open_Perl_IDE_1.0.11.409.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\PERL EDITORS,1072 KB,16/10/2019 18:57,16/10/2019 18:57,29/11/2002 23:14
rgb10.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\VirtualDub filters,17 KB,16/10/2019 18:58,16/10/2019 18:58,09/04/2006 5:00
whitebalance201.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\VirtualDub filters,36 KB,16/10/2019 18:58,16/10/2019 18:58,09/04/2006 4:42
pseudocolor10.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\VirtualDub filters,118 KB,16/10/2019 18:58,16/10/2019 18:58,09/04/2006 4:54
subtitler-2_4.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\VirtualDub filters,52 KB,16/10/2019 18:58,16/10/2019 18:58,06/01/2006 18:06
hotspot10(forfilms).zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\VirtualDub filters,48 KB,16/10/2019 18:58,16/10/2019 18:58,09/04/2006 4:48
winhisto10.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\VirtualDub filters,474 KB,16/10/2019 18:58,16/10/2019 18:58,09/04/2006 4:59
colorize11b1.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\VirtualDub filters,27 KB,16/10/2019 18:58,16/10/2019 18:58,09/04/2006 4:44
histo11.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\VirtualDub filters,135 KB,16/10/2019 18:58,16/10/2019 18:58,09/04/2006 4:45
filtfactory.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\VirtualDub filters,24 KB,16/10/2019 18:58,16/10/2019 18:58,09/04/2006 6:41
VDUB2dclean06.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\@MULTIAPPS_x86_w32-Dc405\VirtualDub filters,23 KB,16/10/2019 18:58,16/10/2019 18:58,09/04/2006 19:38
filters.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\EDITORES SIMPLES LIKE NOTEPAD\metapad35LE,0 KB,20/11/2019 18:15,20/11/2019 18:15,29/03/2001 18:24
metapad35LE.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\EDITORES SIMPLES LIKE NOTEPAD\ZIPS NOTEPADS,44 KB,20/11/2019 18:17,20/11/2019 18:17,26/07/2004 0:26
tedNotepad_NT.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\EDITORES SIMPLES LIKE NOTEPAD\ZIPS NOTEPADS,85 KB,20/11/2019 18:17,20/11/2019 18:17,26/07/2004 0:31
Open_Perl_IDE_1.0.11.409.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\Para un sistema XP Vacio,1072 KB,30/11/2002 0:14,30/11/2002 0:14,30/11/2002 0:14
UltraEdit v9.2 ESPAÑOL.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\Software Win32,1512 KB,18/09/2019 18:39,06/07/2017 17:51,06/07/2017 17:52
SUBMIT.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\Software Win32,2412 KB,18/09/2019 18:39,06/07/2017 17:51,06/07/2017 17:52
popularity.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\Software Win32,3789 KB,18/09/2019 18:39,06/07/2017 17:51,06/07/2017 17:51
graficos y color.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\Software Win32,1505 KB,18/09/2019 18:39,06/07/2017 17:51,06/07/2017 17:51
DATABASE SOFT.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\Software Win32,2185 KB,18/09/2019 18:39,06/07/2017 17:50,06/07/2017 17:50
HTML2IMG.zip,E:\#(TODO_APPS)\+XP w32 - SoftWare\Software Win32,5493 KB,18/09/2019 18:39,06/07/2017 17:51,06/07/2017 17:51
Console-2.00b148-Beta_32bit.zip,E:\#(TODO_APPS)\@Apps Downloaded,1542 KB,30/07/2020 17:17,30/07/2020 17:17,21/07/2020 16:32
VBREF - perl - Reducir Paginas Web del 2020.zip,E:\#(TODO_APPS)\@Apps Downloaded,6 KB,30/07/2020 17:17,30/07/2020 17:17,22/07/2020 17:35
deluxe_paint_st_1_00_electronic_arts.zip,E:\#(TODO_APPS)\@Apps Downloaded,522 KB,30/07/2020 17:17,30/07/2020 17:17,07/07/2020 17:41
winstonsrc.zip,E:\#(TODO_APPS)\@Apps Downloaded,744 KB,30/07/2020 17:17,30/07/2020 17:17,07/07/2020 17:46
howto_net_kaleidoscope.zip,E:\#(TODO_APPS)\@Apps Downloaded,10 KB,30/07/2020 17:17,30/07/2020 17:17,11/06/2020 17:38
EXES_FUR_PROGRAMMERS - (VB6)(By.Diponto).zip,E:\#(TODO_APPS)\@Apps Instaladas,157 KB,07/09/2020 18:59,23/11/2020 19:34,07/09/2020 18:59
htmltrim-0.2.8-bin.zip,E:\#(TODO_APPS)\@Apps Instaladas,137 KB,08/09/2020 16:21,23/11/2020 19:34,08/09/2020 16:21
zecode-gui-winapi (C).zip,E:\#(TODO_APPS)\@Apps Instaladas,418 KB,30/07/2020 18:26,30/07/2020 18:26,17/05/2020 17:38
